Latitude,Longitude,Rain_Mean,Rain_Max,Rain_STD,Landslide,dist_to_rivers,dist_to_roads,dist_to_streams,dominant_lulc,litho_clay,litho_iron_oxide,lulc_change_frequency,lulc_stability,moisture_features,moisture_pca,ndvi_monsoon_mean,ndvi_pre_mean,ndvi_std,soil_bulk_density,soil_clay_content_pct,soil_organic_carbon,soil_sand_content_pct,soil_texture_0cm,terrain_aspect,terrain_aspect_cos,terrain_aspect_sin,terrain_elevation,terrain_hillshade,terrain_roughness,terrain_slope,terrain_slope_radians,terrain_tpi,twi,vegetation_persistence,label
24.24750726,92.94296851,6.281581879,179.5934448,12.86236763,0,574.2683105,,,0,0,0,0,0,24.96175003,-155.6572876,0,0,0,132,27,8,44,7,346.3027039,0.971560359,-0.236792102,507,198,168,24.22125435,0.422740638,-5.259259224,0.798810482,0,0
23.71004366,92.72134549,5.69139576,164.4915009,11.8796072,0,1843.530762,,,0,0,0,0,0,24.34838295,-3566.243652,0,0,0,128,33,5,36,4,172.8850403,-0.992299616,0.123860694,969,169,168,29.72501183,0.518799365,-15.6419754,1.253568172,0,0
25.1076,92.847361,6.313474,218.64168,14.259439,1,464.90433,,,1,0.8787879,0.074538775,0,1,24.620478,-4404.1533,0.3608364,0.23646887,0.17757823,135,28,5,43,4,350.35754,0.9858722,-0.1674991,157,187,59,12.049335,0.21030056,-0.27160493,1.5443213,1,1
25.437111,93.403639,3.8477006,104.76132,7.854557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.76182406,93.1202089,5.276840687,165.9231873,10.81751919,0,649.3200073,,,0,0,0,0,0,24.64367294,0.915608168,0,0,0,111,30,10,38,4,170.692337,-0.986834109,0.161735862,958,171,96,18.1633606,0.317010462,4.975308418,2.906273127,0,0
24.88974278,92.67373502,6.313474178,218.6416779,14.25943947,0,925.3311768,,,0,0,0,0,0,24.65433121,-3887.033203,0,0,0,121,27,5,47,6,180,-1,1.22E-16,21,180,7,0.927409947,0.016186357,0.716049373,4.123499393,0,0
24.64410374,92.95817546,6.705462456,176.0697021,12.99530125,0,1271.755371,,,0,0,0,0,0,24.8789463,-746.2642822,0,0,0,114,29,4,43,4,339.8601074,0.938854754,-0.344313383,33,184,7,2.961049318,0.051680058,0.92592591,2.961792469,0,0
25.48087163,92.76215844,3.663917065,113.2145691,8.860953331,0,565.6707764,,,1,0.910447776,0.384991199,0,1,22.99475479,-5.900339603,0.768761754,0.440482706,0.217914999,127,30,5,41,4,275.7277832,0.099802464,-0.995007277,504,209,37,9.213033676,0.16079776,2.296296358,1.818936825,1,0
24.31059706,92.911456,6.281581879,179.5934448,12.86236763,0,689.3359375,,,0,0,0,0,0,25.01673508,-2377.453125,0,0,0,128,28,6,43,4,303.5357666,0.552457392,-0.833541155,258,215,90,13.19257355,0.230253845,14.45678997,2.143826008,0,0
25.64651854,92.97530267,3.212815046,96.28636169,8.132258415,0,63.79961395,,,1,0.835164845,0.366824359,0,1,21.29957199,-5855.005859,0.805454433,0.52226615,0.194785118,118,25,5,43,7,68.16609955,0.371917099,0.928265929,134,152,35,9.876251221,0.172373101,1.049382687,3.694030762,1,0
25.441757,92.907383,3.6789484,110.83947,8.344592,1,1467.4175,,,1,0.85,0.5139207,0,1,21.47056,-7819.7275,0.6810208,0.47903788,0.16872746,133,31,5,42,4,55.214874,0.5705004,0.82129735,574,140,43,15.8411255,0.2764798,8.049383,1.2596726,1,1
25.65487164,93.10045621,3.212815046,96.28636169,8.132258415,0,224.9484863,,,1,0.862258971,0.26416257,0,1,21.75666618,-11.24361992,0.716692567,0.502612472,0.178734213,135,26,4,44,7,258.6727295,-0.19641307,-0.980521262,227,209,50,9.360122681,0.163364962,-0.913580239,2.495963812,1,0
24.34622207,93.17455298,4.26690197,120.2972412,8.938105583,0,1484.550659,,,0,0,0,0,0,24.76329613,-9908.705078,0,0,0,111,29,8,38,4,18.81078339,0.946588576,0.322443873,941,154,117,26.37837029,0.460389435,7.629629612,0.701312661,0,0
23.88411954,93.09746873,5.613379955,119.8069992,10.48300457,0,941.315979,,,0,0,0,0,0,24.52309799,0.846934497,0,0,0,112,31,8,37,4,103.8298187,-0.23903881,0.971010029,567,105,152,25.36290932,0.442666262,-17.59259224,0.746459723,0,0
24.63937875,93.27296056,4.063409805,107.7856903,8.923542976,0,1824.720337,,,0,0,0,0,0,24.75866699,-590.9121704,0,0,0,128,30,10,39,4,75.44186401,0.251362205,0.967893124,788,137,51,14.4453764,0.252119392,3.604938269,1.356344581,0,0
23.99709114,93.25145089,4.521286964,117.378624,8.906289101,0,377.0483093,,,0,0,0,0,0,24.21660233,-0.54222858,0,0,0,114,29,5,40,4,222.3703613,-0.738804102,-0.673920274,646,237,107,27.73802376,0.484119862,-14.85185146,1.335870028,0,0
25.437722,93.349889,3.6494102,109.26363,7.7344284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.38488434,92.74775485,7.0432477,182.6837616,14.10465431,0,1733.689209,,,0,0,0,0,0,24.9886055,-7029.91748,0,0,0,124,30,6,42,4,316.1481934,0.721134186,-0.692795455,291,202,41,10.18073177,0.177687287,0.283950627,1.717127562,0,0
25.30424469,92.77183705,5.337397575,203.0103149,13.65210438,0,226.1899872,,,1,0.893617034,0.453315437,0,1,23.53190804,-4032.811035,0.60424304,0.599972844,0.19230032,117,30,5,41,4,176.2772064,-0.997889876,0.064929269,929,177,87,15.41747284,0.269085675,13.29629612,1.288173556,1,0
25.64897,93.12083,3.212815,96.28636,8.132258,1,1127.1248,,,5,0.82342005,0.05127784,3,0.4,21.852306,-3092.7507,0.4950551,0.26079193,0.20353924,131,27,3,44,7,199.54376,-0.94238627,-0.3345267,346,204,97,23.24041,0.40562168,3.4320989,1.5384306,1,1
25.443417,93.421444,3.8477006,104.76132,7.854557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.57282313,93.23932869,4.961083412,191.4750366,11.11394405,0,1214.826782,,,0,0,0,0,0,23.96907616,-1.726925015,0,0,0,114,31,8,37,4,113.1575928,-0.393261462,0.91942668,1280,134,92,16.07381248,0.280540943,3.790123463,1.244308472,0,0
25.206,93.126,4.3167205,81.07775,8.121754,1,1625.0453,,,1,0.8811189,0.3329716,0,1,24.765762,1.6122808,0.7036758,0.5130944,0.17997308,120,30,5,42,4,255.21696,-0.25515947,-0.966899,776,251,117,23.945646,0.41793036,10.9382715,0.81172246,1,1
